user_id,recomendations
130,"[874972, 1029743, 1082185, 1127831, 951590]"
131,"[874972, 1048068, 990656, 1082185, 1075214]"
132,"[874972, 1126899, 1082185, 1096036, 866211]"
133,"[874972, 1081177, 1012284, 995242, 1082185]"
134,"[874972, 862682, 5592931, 838186, 1029743]"
135,"[874972, 826249, 1029743, 1082185, 1106523]"
136,"[874972, 962568, 8090521, 899624, 972931]"
137,"[874972, 1029743, 951590, 1082185, 1127831]"
138,"[874972, 1009449, 9836106, 5569230, 912137]"
139,"[12262830, 5569471, 976199, 1058997, 1082185]"
140,"[874972, 832678, 892531, 914190, 5591083]"
141,"[874972, 1029743, 1082185, 1106523, 1127831]"
142,"[874972, 1082212, 990797, 838186, 1074524]"
143,"[874972, 1127758, 978077, 1106523, 965766]"
144,"[874972, 1029743, 1127831, 1082185, 951590]"
145,"[874972, 1106523, 1127831, 1082185, 951590]"
146,"[874972, 995242, 1029743, 1082185, 1106523]"
147,"[874972, 1029743, 1082185, 1127831, 951590]"
148,"[874972, 1082185, 1106523, 1127831, 951590]"
149,"[874972, 1029743, 916122, 1082185, 1127831]"
150,"[874972, 1029743, 1082185, 1127831, 951590]"
151,"[874972, 824005, 843756, 5569230, 1029743]"
152,"[874972, 1029743, 1082185, 1127831, 951590]"
153,"[874972, 1072523, 1062128, 1029743, 1082185]"
154,"[874972, 1029743, 1082185, 1127831, 951590]"
155,"[874972, 1082185, 1106523, 1127831, 951590]"
156,"[874972, 1057260, 833025, 990797, 835098]"
157,"[874972, 916122, 826249, 1126899, 923746]"
158,"[874972, 1082185, 862349, 12731714, 10149640]"
159,"[874972, 1082185, 1106301, 1004906, 1087102]"
160,"[874972, 1082185, 961554, 862349, 6034857]"
161,"[825343, 916381, 834117, 981760, 916122]"
162,"[874972, 879528, 1070820, 916122, 1122358]"
163,"[874972, 1029743, 1082185, 1127831, 951590]"
164,"[874972, 1092026, 971949, 1029743, 1082185]"
165,"[874972, 1029743, 951590, 1082185, 1127831]"
166,"[874972, 995242, 1043751, 951590, 1082185]"
167,"[874972, 1009046, 1029743, 1082185, 1106523]"
168,"[874972, 1082185, 878996, 1029743, 1004906]"
169,"[874972, 1029743, 1082185, 1106523, 1127831]"
170,"[874972, 1029743, 951590, 1082185, 1127831]"
171,"[874972, 1029743, 1082185, 1106523, 1127831]"
172,"[874972, 1029743, 1082185, 1106523, 1127831]"
173,"[874972, 1029743, 1082185, 1127831, 951590]"
174,"[825343, 951590, 1051323, 1069621, 1085983]"
175,"[874972, 1029743, 1082185, 1127831, 951590]"
176,"[874972, 1029743, 1082185, 1127831, 951590]"
177,"[874972, 1029743, 951590, 1082185, 1127831]"
178,"[874972, 951590, 1133018, 8090521, 1110572]"
179,"[874972, 1029743, 1082185, 1127831, 951590]"
180,"[874972, 951590, 995242, 1082185, 1127831]"
181,"[874972, 1029743, 951590, 1082185, 1127831]"
182,"[874972, 1029743, 1082185, 1127831, 951590]"
183,"[874972, 883404, 1029743, 1082185, 1106523]"
184,"[848029, 916990, 12384365, 1082185, 981760]"
185,"[874972, 1101010, 844165, 1029743, 1082185]"
186,"[874972, 1029743, 1082185, 1127831, 951590]"
187,"[849202, 961554, 908531, 971949, 1029743]"
188,"[874972, 847982, 879755, 1029743, 1082185]"
189,"[874972, 1029743, 1082185, 1127831, 951590]"
190,"[874972, 825365, 942817, 1079228, 1029743]"
191,"[874972, 1039156, 1029743, 1082185, 1106523]"
192,"[874972, 1129576, 1033142, 5569230, 1029743]"
193,"[874972, 1106523, 944139, 1029743, 1082185]"
194,"[874972, 923746, 838186, 1082185, 845208]"
195,"[12262830, 1077555, 914190, 995242, 1082185]"
196,"[970747, 1029743, 1082185, 1106523, 1127831]"
197,"[874972, 1126899, 838186, 1029743, 1082185]"
198,"[836445, 965842, 907099, 1106523, 1075368]"
199,"[874972, 1029743, 1082185, 1106523, 1127831]"
200,"[874972, 1058997, 909894, 1029743, 1082185]"
201,"[874972, 844179, 833025, 1133018, 6034857]"
202,"[1137346, 916122, 944534, 1019247, 999779]"
203,"[874972, 914190, 948384, 1029743, 5569471]"
204,"[874972, 5569230, 1053690, 13945244, 921504]"
205,"[874972, 934369, 847982, 1106523, 1082185]"
206,"[874972, 1029743, 1082185, 1127831, 951590]"
207,"[874972, 1029743, 1082185, 1127831, 951590]"
208,"[874972, 951190, 826249, 951590, 1082185]"
209,"[825343, 892531, 999198, 1029743, 8090537]"
210,"[12262778, 934676, 1130458, 1106523, 1082185]"
211,"[874972, 1110572, 962229, 1010190, 832678]"
212,"[874972, 13842214, 847982, 995242, 1056509]"
213,"[1000753, 1102959, 1029743, 1082185, 1106523]"
214,"[874972, 1082185, 901062, 944836, 833724]"
215,"[874972, 981760, 916122, 1082185, 916993]"
216,"[874972, 6533936, 1029743, 1082185, 1106523]"
217,"[1000753, 908531, 844179, 951590, 995242]"
218,"[874972, 1085604, 1074333, 1029743, 962568]"
219,"[874972, 1056509, 933835, 1082185, 981760]"
220,"[874972, 1027569, 995242, 866211, 1016800]"
221,"[874972, 1082185, 981760, 1133018, 1043751]"
222,"[874972, 859075, 962568, 1058997, 1082185]"
223,"[874972, 1029743, 1127831, 1082185, 951590]"
224,"[874972, 1029743, 1082185, 1106523, 1127831]"
225,"[874972, 9420312, 902172, 823721, 1029743]"
226,"[874972, 1029743, 1082185, 1106523, 1127831]"
227,"[874972, 908531, 890695, 1029743, 1082185]"
228,"[874972, 1029743, 1082185, 1106523, 1127831]"
229,"[874972, 1106523, 951590, 1082185, 1127831]"
230,"[874972, 845193, 856060, 1029743, 1044078]"
231,"[874972, 1029743, 1082185, 1127831, 951590]"
232,"[1137346, 870547, 979707, 1106523, 923746]"
233,"[874972, 995242, 1082185, 859075, 1068719]"
234,"[874972, 1029743, 1082185, 1127831, 951590]"
235,"[874972, 1133018, 1094955, 908531, 862732]"
236,"[874972, 829852, 1076056, 1029743, 1082185]"
237,"[874972, 1029743, 1082185, 1127831, 951590]"
238,"[874972, 1029743, 1082185, 1127831, 951590]"
239,"[874972, 1082185, 998444, 1133018, 1096036]"
240,"[874972, 1106523, 5569230, 1082185, 923746]"
241,"[874972, 1029743, 1082185, 1106523, 1127831]"
242,"[874972, 961554, 965766, 1029743, 1082185]"
243,"[874972, 1053690, 1022097, 1126899, 961554]"
244,"[874972, 1082185, 1133018, 834117, 909894]"
245,"[874972, 1029743, 1082185, 1106523, 1127831]"
246,"[874972, 1042438, 1051468, 1070820, 922127]"
247,"[874972, 1132771, 1098844, 1082185, 1133018]"
248,"[874972, 1029743, 1082185, 1106523, 1127831]"
249,"[874972, 1029743, 15926886, 1029743, 1082185]"
250,"[874972, 965766, 840361, 951590, 995242]"
251,"[874972, 5568378, 1043590, 1070820, 1075368]"
252,"[874972, 1029743, 1082185, 1106523, 1127831]"
253,"[874972, 1072523, 9527159, 951590, 1044078]"
254,"[874972, 982493, 1029743, 1082185, 1106523]"
255,"[874972, 1082185, 1106523, 1127831, 951590]"
256,"[874972, 1101173, 1134522, 1075368, 862349]"
257,"[874972, 883404, 993638, 1029743, 1082185]"
258,"[874972, 995242, 1048257, 1029743, 1082185]"
259,"[874972, 1082185, 940947, 1039156, 1029743]"
260,"[874972, 1082185, 909714, 834117, 1029743]"
261,"[874972, 1029743, 1082185, 1127831, 951590]"
262,"[874972, 922561, 1043751, 859075, 1040807]"
263,"[874972, 1082185, 866211, 995242, 878996]"
264,"[874972, 961554, 1132771, 1018740, 1029743]"
265,"[874972, 1029743, 1082185, 1106523, 1127831]"
266,"[874972, 1070820, 990797, 1082185, 981760]"
267,"[874972, 1029743, 1082185, 1106523, 1127831]"
268,"[874972, 837107, 1029743, 1082185, 1106523]"
269,"[874972, 948650, 902172, 1106523, 962229]"
270,"[874972, 981760, 844179, 951590, 1106523]"
271,"[874972, 8090521, 981760, 1058997, 961554]"
272,"[874972, 1029743, 1082185, 1127831, 951590]"
273,"[874972, 873964, 883404, 859010, 1029743]"
274,"[874972, 1029743, 1082185, 1106523, 1127831]"
275,"[874972, 826249, 1082185, 1133018, 961554]"
276,"[12810391, 995896, 962568, 1052912, 12731544]"
277,"[874972, 1106523, 1127831, 1082185, 951590]"
278,"[874972, 962229, 1044078, 995242, 8090537]"
279,"[874972, 1106523, 951590, 1082185, 1127831]"
280,"[874972, 1106523, 1029743, 1082185, 1106523]"
281,"[874972, 862349, 1055504, 1082185, 878996]"
282,"[874972, 985999, 6034857, 957736, 1029743]"
283,"[874972, 1044078, 833025, 995242, 1082185]"
284,"[874972, 12301405, 1101173, 1029743, 1082185]"
285,"[874972, 819063, 974108, 1082185, 981760]"
286,"[874972, 1119051, 1029743, 1082185, 1106523]"
287,"[874972, 995242, 923746, 1082185, 1096036]"
288,"[874972, 1126899, 916122, 1082185, 908531]"
289,"[874972, 962568, 989824, 981760, 1022254]"
290,"[874972, 867188, 962229, 995242, 1082185]"
291,"[874972, 1044078, 6534480, 5568378, 1042438]"
292,"[874972, 981760, 883404, 1106523, 1053690]"
293,"[874972, 1082185, 1106523, 1127831, 951590]"
294,"[874972, 921836, 945662, 995242, 908531]"
295,"[874972, 1029743, 1082185, 1127831, 951590]"
296,"[874972, 1029743, 1082185, 1127831, 951590]"
297,"[874972, 8090521, 819765, 5568378, 12810393]"
298,"[874972, 1029743, 1082185, 1127831, 951590]"
299,"[874972, 1029743, 1082185, 1127831, 951590]"
300,"[874972, 1029743, 1082185, 1106523, 1127831]"
301,"[874972, 916122, 844165, 995242, 1082185]"
302,"[874972, 1005274, 1062128, 892531, 1101174]"
303,"[874972, 1068719, 979707, 951590, 995242]"
304,"[874972, 834117, 972931, 1106523, 1082185]"
305,"[874972, 913210, 1029743, 1082185, 1106523]"
306,"[874972, 833025, 1018740, 995242, 1082185]"
307,"[874972, 898212, 970202, 1039156, 877447]"
308,"[874972, 1110572, 963835, 1029743, 1082185]"
309,"[874972, 1029743, 1127831, 1082185, 951590]"
310,"[874972, 1029743, 1082185, 1127831, 951590]"
311,"[874972, 1110572, 1029743, 1082185, 1106523]"
312,"[874972, 965766, 906262, 1027569, 1040935]"
313,"[874972, 1029743, 1082185, 1127831, 951590]"
314,"[874972, 1133018, 878996, 951590, 1082185]"
315,"[874972, 1029743, 1082185, 1127831, 951590]"
316,"[836445, 878996, 840361, 1096036, 5568378]"
317,"[874972, 908531, 12810393, 951590, 1029743]"
318,"[874972, 1106301, 5568729, 918335, 1029743]"
319,"[874972, 1127831, 995242, 1082185, 951590]"
320,"[874972, 1082185, 1106523, 1127831, 951590]"
321,"[874972, 979707, 856772, 944836, 5568729]"
322,"[874972, 1044078, 979707, 901062, 1029743]"
323,"[874972, 923746, 1068719, 1122358, 921836]"
324,"[874972, 1022254, 970030, 1082185, 903325]"
325,"[12810464, 896085, 979707, 5569230, 995242]"
326,"[874972, 995242, 1101010, 8090521, 1040807]"
327,"[874972, 1133018, 883404, 1029743, 1082185]"
328,"[874972, 1051516, 1009449, 1070820, 878996]"
329,"[948670, 979707, 885023, 1029743, 1082185]"
330,"[874972, 923746, 1053690, 1106523, 1004906]"
331,"[874972, 862349, 1082185, 1029743, 1082185]"
332,"[874972, 5565925, 948650, 995242, 1044078]"
333,"[874972, 899624, 1029743, 1082185, 1106523]"
334,"[874972, 1029743, 1082185, 1056509, 860975]"
335,"[874972, 1029743, 1127831, 1082185, 951590]"
336,"[874972, 1029743, 951590, 1082185, 1127831]"
337,"[874972, 1082185, 1106523, 1127831, 951590]"
338,"[874972, 923746, 1053690, 1082185, 1133018]"
339,"[874972, 840361, 1051211, 1106523, 1029743]"
340,"[874972, 1082185, 1106523, 1127831, 951590]"
341,"[874972, 1029743, 1082185, 1127831, 951590]"
342,"[1000753, 870515, 854852, 847982, 1029743]"
343,"[874972, 961554, 933835, 909714, 1040807]"
344,"[874972, 1029743, 981760, 1082185, 1127831]"
345,"[874972, 1133018, 1040371, 1082185, 923746]"
346,"[825343, 865528, 883404, 1029743, 1082185]"
347,"[874972, 1024306, 930118, 1029743, 1082185]"
348,"[947858, 990797, 985893, 1106523, 923746]"
349,"[874972, 995242, 878996, 1082185, 1044078]"
350,"[874972, 1044078, 1106523, 1029743, 1082185]"
351,"[1000753, 866211, 6034857, 951590, 1082185]"
352,"[874972, 1029743, 1082185, 1127831, 951590]"
353,"[874972, 948086, 1029743, 1082185, 1106523]"
354,"[849202, 1058997, 1082185, 878996, 961554]"
355,"[874972, 1029743, 1082185, 1127831, 951590]"
356,"[874972, 926905, 1029743, 1082185, 1106523]"
357,"[874972, 1133018, 908531, 909894, 1095068]"
358,"[874972, 1055504, 1048462, 5569230, 1106523]"
359,"[874972, 1029743, 1082185, 1127831, 951590]"
360,"[874972, 1110572, 1029743, 1082185, 1106523]"
361,"[874972, 1053690, 899624, 962229, 1082185]"
362,"[874972, 983795, 922127, 923746, 1127831]"
363,"[874972, 1029743, 1082185, 1127831, 951590]"
364,"[874972, 962229, 923746, 1082185, 908531]"
365,"[874972, 832678, 1082185, 981760, 986912]"
366,"[874972, 1065593, 1020682, 1077555, 1128240]"
367,"[874972, 1135476, 993466, 1082185, 862349]"
368,"[874972, 1029743, 1082185, 1127831, 951590]"
369,"[874972, 923746, 986912, 1106523, 1044078]"
370,"[874972, 1029743, 1082185, 1127831, 951590]"
371,"[874972, 1070820, 944836, 951590, 5569471]"
372,"[874972, 1106523, 1127831, 1082185, 951590]"
373,"[874972, 986912, 999779, 1094955, 883404]"
374,"[874972, 1009046, 1029743, 923746, 1037863]"
375,"[874972, 885023, 1029743, 1082185, 1106523]"
376,"[874972, 1006184, 987562, 1044078, 1096036]"
377,"[874972, 959985, 1138443, 1029743, 1082185]"
378,"[874972, 1082185, 910673, 833025, 15926886]"
379,"[874972, 1029743, 1082185, 1127831, 951590]"
380,"[1013928, 944139, 932863, 951590, 923746]"
381,"[874972, 1106523, 965766, 923746, 859075]"
382,"[874972, 1106523, 926905, 1115175, 1077490]"
383,"[874972, 1058997, 1082185, 961554, 979707]"
384,"[825343, 843756, 1075368, 1055504, 1027569]"
385,"[874972, 854852, 1010190, 1082185, 921504]"
386,"[874972, 1053690, 15926886, 1108131, 995242]"
387,"[874972, 916990, 913210, 1126899, 1082185]"
388,"[874972, 995242, 923673, 961554, 5569327]"
389,"[874972, 1133018, 947798, 1082185, 866211]"
390,"[874972, 999714, 1029743, 1082185, 1106523]"
391,"[874972, 1106523, 951590, 1082185, 1127831]"
392,"[874972, 972665, 985999, 1106523, 1082185]"
393,"[1013928, 896085, 1070272, 1029743, 1108168]"
394,"[874972, 13842090, 921836, 1029743, 1082185]"
395,"[874972, 1053690, 5568378, 926233, 1029743]"
396,"[874972, 1082185, 993441, 1029743, 1082185]"
397,"[874972, 1044078, 844179, 1058997, 1082185]"
398,"[874972, 5569230, 909894, 995242, 908531]"
399,"[874972, 1029743, 1127831, 1082185, 951590]"
400,"[874972, 1136257, 901776, 1029743, 1082185]"
401,"[874972, 878996, 823704, 1082185, 986912]"
402,"[970747, 979707, 821083, 916122, 12810393]"
403,"[874972, 1029743, 1127831, 1082185, 951590]"
404,"[874972, 5569471, 862682, 1092588, 898068]"
405,"[874972, 962229, 916122, 961554, 854852]"
406,"[874972, 995242, 1116821, 1082185, 1135476]"
407,"[9835223, 995242, 908531, 883404, 826249]"
408,"[874972, 1106523, 951590, 1082185, 1127831]"
409,"[874972, 878996, 862349, 1082185, 981760]"
410,"[874972, 923746, 911812, 962229, 995242]"
411,"[874972, 1029743, 1082185, 1106523, 1127831]"
412,"[874972, 1082185, 979707, 995242, 878996]"
413,"[874972, 5585510, 847982, 1106523, 5569230]"
414,"[874972, 961554, 1132771, 1029743, 866211]"
415,"[874972, 1133018, 1056509, 5569327, 999104]"
416,"[874972, 1106523, 951590, 1082185, 1127831]"
417,"[874972, 1081189, 1122568, 844165, 1050851]"
418,"[874972, 1029743, 981760, 916122, 12263788]"
419,"[874972, 1106523, 951590, 1082185, 1127831]"
420,"[874972, 1029743, 1029743, 1082185, 1106523]"
421,"[874972, 961554, 916122, 1058997, 1082185]"
422,"[874972, 1127831, 995242, 1082185, 951590]"
423,"[874972, 1029743, 1127831, 1082185, 951590]"
424,"[874972, 1029743, 1082185, 1127831, 951590]"
425,"[874972, 1041796, 12301100, 1070820, 923746]"
426,"[874972, 1082185, 1101706, 862349, 916122]"
427,"[874972, 840361, 1037863, 1029743, 1082185]"
428,"[874972, 951590, 995242, 1082185, 1127831]"
429,"[874972, 5585510, 993638, 995242, 1056509]"
430,"[874972, 995242, 1075368, 5569230, 962229]"
431,"[874972, 1029743, 1082185, 1127831, 951590]"
432,"[874972, 1002771, 1029743, 1082185, 1106523]"
433,"[874972, 963971, 1106523, 1082185, 1029743]"
434,"[874972, 10121965, 1081189, 1048462, 1065593]"
435,"[874972, 899624, 5569845, 1029743, 1082185]"
436,"[874972, 981760, 5569230, 1029743, 1082185]"
437,"[948670, 1039156, 1029743, 1082185, 1106523]"
438,"[874972, 961554, 1019247, 951590, 1029743]"
439,"[874972, 1029743, 1082185, 1127831, 951590]"
440,"[874972, 1029743, 1082185, 1127831, 951590]"
441,"[874972, 1009046, 12810393, 1038985, 1029743]"
442,"[874972, 833025, 909894, 1126899, 1085604]"
443,"[874972, 923746, 866211, 862349, 1057260]"
444,"[874972, 1029743, 1082185, 1127831, 951590]"
445,"[874972, 1029743, 1082185, 1127831, 951590]"
446,"[874972, 1029743, 1082185, 1106523, 1127831]"
447,"[874972, 986912, 1022097, 995242, 1057260]"
448,"[874972, 1029743, 1127831, 1082185, 951590]"
449,"[874972, 859075, 1053690, 1029743, 1132771]"
450,"[12810391, 1082185, 923746, 995242, 878996]"
451,"[874972, 916122, 1004906, 1029743, 1082185]"
452,"[874972, 1106523, 1127831, 1082185, 951590]"
453,"[874972, 1029743, 951590, 1082185, 1127831]"
454,"[848029, 962568, 1016800, 995242, 1082185]"
455,"[874972, 1082185, 1106523, 1127831, 951590]"
456,"[874972, 1029743, 1082185, 1127831, 951590]"
457,"[874972, 1082185, 844165, 1029743, 1122568]"
458,"[874972, 961554, 1058997, 1023958, 1029743]"
459,"[874972, 1075313, 885290, 1029743, 1082185]"
460,"[874972, 981760, 1029743, 1082185, 1106523]"
461,"[874972, 909714, 985999, 995242, 1077555]"
462,"[874972, 1043751, 995242, 1081177, 1137775]"
463,"[948670, 933067, 1082185, 1133018, 12810393]"
464,"[874972, 1082185, 833025, 995242, 961554]"
465,"[874972, 1106523, 1127831, 1082185, 951590]"
466,"[874972, 832001, 1029743, 1082185, 1106523]"
467,"[874972, 916122, 834117, 1029743, 1082185]"
468,"[874972, 993638, 830887, 1106523, 1082185]"
469,"[874972, 979707, 1137775, 1082185, 862349]"
470,"[874972, 835098, 9420312, 15926886, 826249]"
471,"[874972, 995242, 965766, 8090521, 883202]"
472,"[874972, 1082185, 1106523, 1127831, 951590]"
473,"[874972, 1106523, 951590, 1082185, 1127831]"
474,"[874972, 1065593, 1029743, 1082185, 1106523]"
475,"[874972, 1106523, 916122, 1082185, 1127831]"
476,"[874972, 1029743, 1082185, 1127831, 951590]"
477,"[948670, 13115579, 879755, 1029743, 13945244]"
478,"[874972, 8090440, 1029743, 1082185, 1106523]"
479,"[874972, 1029743, 1082185, 1106523, 1127831]"
480,"[874972, 1009449, 1029743, 1082185, 1106523]"
481,"[874972, 1029743, 5569230, 1082185, 1127831]"
482,"[836445, 8090537, 1004906, 951590, 1133018]"
483,"[874972, 879755, 1029743, 1082185, 1106523]"
484,"[874972, 995242, 1029743, 1082185, 1106523]"
485,"[12810391, 908531, 1092026, 951590, 1082185]"
486,"[874972, 1029743, 1082185, 1127831, 951590]"
487,"[874972, 1029743, 1082185, 1106523, 1127831]"
488,"[874972, 1106523, 1127831, 1082185, 951590]"
489,"[874972, 909894, 993638, 1082185, 1058997]"
490,"[874972, 1029743, 1127831, 1082185, 951590]"
491,"[874972, 828867, 1100972, 1051468, 885023]"
492,"[874972, 1029743, 1127831, 1082185, 951590]"
493,"[874972, 1003188, 1017363, 995242, 859075]"
494,"[874972, 1029743, 1082185, 1127831, 951590]"
495,"[874972, 995242, 1116821, 923746, 995965]"
496,"[874972, 1029743, 1082185, 1127831, 951590]"
497,"[874972, 837304, 1029743, 1082185, 1106523]"
498,"[874972, 1029743, 1082185, 1127831, 951590]"
499,"[874972, 1029743, 1082185, 1127831, 951590]"
500,"[874972, 1029743, 1082185, 1127831, 951590]"
501,"[874972, 1029743, 1082185, 1127831, 951590]"
502,"[874972, 908531, 910473, 1029743, 866211]"
503,"[874972, 1003188, 866211, 8090536, 987562]"
504,"[874972, 1029743, 1082185, 1127831, 951590]"
505,"[874972, 1127716, 1029743, 1082185, 1106523]"
506,"[849202, 1026118, 892531, 1104414, 1013641]"
